@relation classType
@attribute rrInterval, NUMERIC 
@attribute classType { Exercise , BaseLine }
@data
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
33856 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
80656 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
41616 ,BaseLine
172225 ,BaseLine
172225 ,BaseLine
172225 ,BaseLine
172225 ,BaseLine
172225 ,BaseLine
